time	accX	accY	accZ
0e+00	0.000000e+00	0.000000e+00	-9.806650e+00
3e-02	6.768000e+00	0.000000e+00	-1.017065e+01
6e-02	6.336000e+00	0.000000e+00	-1.013465e+01
9e-02	5.904000e+00	0.000000e+00	-1.009865e+01
1.2e-01	5.472000e+00	0.000000e+00	-1.006265e+01
1.5e-01	5.040000e+00	0.000000e+00	-1.002665e+01
1.8e-01	4.608000e+00	0.000000e+00	-9.990650e+00
2.1e-01	4.176000e+00	0.000000e+00	-9.954650e+00
2.4e-01	3.744000e+00	0.000000e+00	-9.918650e+00
2.7e-01	3.312000e+00	0.000000e+00	-9.882650e+00
3.0e-01	2.880000e+00	0.000000e+00	-9.846650e+00
3.3e-01	2.448000e+00	0.000000e+00	-9.810650e+00
3.6e-01	2.016000e+00	0.000000e+00	-9.774650e+00
3.9e-01	1.584000e+00	0.000000e+00	-9.738650e+00
4.2e-01	1.152000e+00	0.000000e+00	-9.702650e+00
4.5e-01	7.200000e-01	0.000000e+00	-9.666650e+00
4.8e-01	2.880000e-01	0.000000e+00	-9.630650e+00
5.1e-01	-1.440000e-01	0.000000e+00	-9.594650e+00
5.4e-01	-5.760000e-01	0.000000e+00	-9.558650e+00
5.7e-01	-1.008000e+00	0.000000e+00	-9.522650e+00
6.0e-01	-1.440000e+00	0.000000e+00	-9.486650e+00
6.3e-01	-1.872000e+00	0.000000e+00	-9.450650e+00
6.6e-01	-2.304000e+00	0.000000e+00	-9.414650e+00
6.9e-01	-2.736000e+00	0.000000e+00	-9.378650e+00
7.2e-01	-3.168000e+00	0.000000e+00	-9.342650e+00
7.5e-01	-3.600000e+00	0.000000e+00	-9.306650e+00
7.8e-01	-4.032000e+00	0.000000e+00	-9.270650e+00
8.1e-01	-4.464000e+00	0.000000e+00	-9.234650e+00
8.4e-01	-4.896000e+00	0.000000e+00	-9.198650e+00
8.7e-01	-5.328000e+00	0.000000e+00	-9.162650e+00
9.0e-01	-5.760000e+00	0.000000e+00	-9.126650e+00
9.3e-01	-6.192000e+00	0.000000e+00	-9.090650e+00
